Název části obce;Název ulice;Číslo domovní;PSČ
Dvůr Králové nad Labem;Riegrova;320;54401
Dvůr Králové nad Labem;Dobrovského;323;54401
Dvůr Králové nad Labem;Riegrova;327;54401
Dvůr Králové nad Labem;Riegrova;328;54401
Dvůr Králové nad Labem;Riegrova;329;54401
Dvůr Králové nad Labem;Riegrova;331;54401
Dvůr Králové nad Labem;Na Struze;332;54401
Dvůr Králové nad Labem;náměstí Rašínovo;333;54401
Dvůr Králové nad Labem;Kollárova;336;54401
Dvůr Králové nad Labem;Riegrova;337;54401
Dvůr Králové nad Labem;Dobrovského;338;54401
Dvůr Králové nad Labem;Riegrova;339;54401
Dvůr Králové nad Labem;Dobrovského;340;54401
Dvůr Králové nad Labem;Dobrovského;342;54401
Dvůr Králové nad Labem;Riegrova;343;54401
Dvůr Králové nad Labem;Riegrova;344;54401
Dvůr Králové nad Labem;Riegrova;345;54401
Dvůr Králové nad Labem;Riegrova;346;54401
Dvůr Králové nad Labem;Riegrova;347;54401
Dvůr Králové nad Labem;Riegrova;348;54401
Dvůr Králové nad Labem;Náprstkova;350;54401
Dvůr Králové nad Labem;Riegrova;352;54401
Dvůr Králové nad Labem;náměstí Denisovo;353;54401
Dvůr Králové nad Labem;náměstí Denisovo;354;54401
Dvůr Králové nad Labem;náměstí Denisovo;355;54401
Dvůr Králové nad Labem;5. května;356;54401
Dvůr Králové nad Labem;Heydukova;357;54401
Dvůr Králové nad Labem;28. října;358;54401
Dvůr Králové nad Labem;Mánesova;360;54401
Dvůr Králové nad Labem;Mánesova;362;54401
Dvůr Králové nad Labem;5. května;368;54401
Dvůr Králové nad Labem;5. května;372;54401
Dvůr Králové nad Labem;5. května;373;54401
Dvůr Králové nad Labem;Městská Podstráň;375;54401
Dvůr Králové nad Labem;Nádražní pěšina;378;54401
Dvůr Králové nad Labem;5. května;379;54401
Dvůr Králové nad Labem;Nádražní pěšina;380;54401
Dvůr Králové nad Labem;Nádražní pěšina;381;54401
Dvůr Králové nad Labem;Nádražní pěšina;382;54401
Dvůr Králové nad Labem;Nádražní pěšina;383;54401
Dvůr Králové nad Labem;Nádražní pěšina;385;54401
Dvůr Králové nad Labem;Nádražní pěšina;388;54401
Dvůr Králové nad Labem;Bezručova;389;54401
Dvůr Králové nad Labem;5. května;390;54401
Dvůr Králové nad Labem;Městská Podstráň;392;54401
Dvůr Králové nad Labem;Městská Podstráň;393;54401
Dvůr Králové nad Labem;Městská Podstráň;394;54401
Dvůr Králové nad Labem;Nádražní pěšina;395;54401
Dvůr Králové nad Labem;Smetanova;396;54401
Dvůr Králové nad Labem;Městská Podstráň;397;54401
Dvůr Králové nad Labem;Městská Podstráň;398;54401
Dvůr Králové nad Labem;Švehlova;400;54401
Dvůr Králové nad Labem;Švehlova;401;54401
Dvůr Králové nad Labem;Legionářská;406;54401
Dvůr Králové nad Labem;Legionářská;407;54401
Dvůr Králové nad Labem;Josefa Hory;410;54401
Dvůr Králové nad Labem;Dukelská;414;54401
Dvůr Králové nad Labem;Dukelská;417;54401
Dvůr Králové nad Labem;Dukelská;418;54401
Dvůr Králové nad Labem;Tyršova;419;54401
Dvůr Králové nad Labem;Dukelská;420;54401
Dvůr Králové nad Labem;Dukelská;422;54401
Dvůr Králové nad Labem;Dukelská;423;54401
Dvůr Králové nad Labem;Dukelská;427;54401
Dvůr Králové nad Labem;Dukelská;428;54401
Dvůr Králové nad Labem;Dukelská;429;54401
Dvůr Králové nad Labem;Dukelská;431;54401
Dvůr Králové nad Labem;Dukelská;432;54401
Dvůr Králové nad Labem;Dukelská;433;54401
Dvůr Králové nad Labem;Dukelská;435;54401
Dvůr Králové nad Labem;Jana Žižky;437;54401
